Lead_1,Lead_2,Lead_3,Lead_4,Lead_5,Lead_6,Lead_7,Lead_8,Lead_9,Lead_10,Lead_11,Lead_12
-0.377045,-0.496364,-0.462955,-0.362727,-0.386591,-0.391364,,,,,,
-0.367500,-0.486818,-0.462955,-0.372273,-0.386591,-0.391364,,,,,,
-0.367500,-0.482045,-0.453409,-0.372273,-0.386591,-0.381818,,,,,,
-0.377045,-0.486818,-0.453409,-0.367500,-0.386591,-0.386591,,,,,,
-0.367500,-0.496364,-0.467727,-0.367500,-0.377045,-0.396136,,,,,,
-0.372273,-0.491591,-0.467727,-0.367500,-0.381818,-0.391364,,,,,,
-0.377045,-0.482045,-0.448636,-0.372273,-0.386591,-0.377045,,,,,,
-0.367500,-0.477273,-0.448636,-0.377045,-0.386591,-0.377045,,,,,,
-0.372273,-0.491591,-0.462955,-0.362727,-0.386591,-0.391364,,,,,,
-0.381818,-0.505909,-0.467727,-0.357955,-0.386591,-0.400909,,,,,,
-0.391364,-0.510682,-0.462955,-0.348409,-0.386591,-0.400909,,,,,,
-0.377045,-0.486818,-0.462955,-0.357955,-0.386591,-0.391364,,,,,,
-0.348409,-0.462955,-0.462955,-0.391364,-0.377045,-0.372273,,,,,,
-0.353182,-0.467727,-0.462955,-0.386591,-0.381818,-0.377045,,,,,,
-0.357955,-0.472500,-0.462955,-0.386591,-0.386591,-0.381818,,,,,,
-0.357955,-0.472500,-0.458182,-0.386591,-0.386591,-0.381818,,,,,,
-0.357955,-0.472500,-0.453409,-0.391364,-0.386591,-0.372273,,,,,,
-0.348409,-0.458182,-0.443864,-0.396136,-0.386591,-0.362727,,,,,,
-0.348409,-0.443864,-0.443864,-0.405682,-0.386591,-0.353182,,,,,,
-0.338864,-0.434318,-0.443864,-0.410455,-0.386591,-0.353182,,,,,,
-0.338864,-0.434318,-0.443864,-0.415227,-0.377045,-0.353182,,,,,,
-0.338864,-0.434318,-0.443864,-0.420000,-0.377045,-0.353182,,,,,,
-0.338864,-0.424773,-0.434318,-0.424773,-0.381818,-0.343636,,,,,,
-0.338864,-0.424773,-0.434318,-0.424773,-0.386591,-0.343636,,,,,,
-0.334091,-0.415227,-0.424773,-0.424773,-0.386591,-0.334091,,,,,,
-0.329318,-0.400909,-0.424773,-0.439091,-0.386591,-0.329318,,,,,,
-0.319773,-0.386591,-0.415227,-0.448636,-0.386591,-0.324545,,,,,,
-0.319773,-0.377045,-0.415227,-0.453409,-0.386591,-0.315000,,,,,,
-0.324545,-0.381818,-0.405682,-0.443864,-0.386591,-0.315000,,,,,,
-0.338864,-0.396136,-0.405682,-0.429545,-0.391364,-0.324545,,,,,,
